Movies,Director,Actors,Year
Kaho Naa... Pyaar Hai,Rakesh Roshan,,2000
Mohabbatein,Aditya Chopra,,2000
Mission Kashmir,Vidhu Vinod Chopra,,2000
Dulhan Hum Le Jayenge,David Dhawan,,2000
Refugee,J. P. Dutta,,2000
Josh,Mansoor Khan,,2000
Har Dil Jo Pyar Karega,Raj Kanwar,,2000
Fiza,Khalid Mohammed,,2000
Hamara Dil Aapke Paas Hai,Satish Kaushik,,2000
Mela,Dharmesh Darshan,,2000
Aaghaaz,Yogesh Ishwar,"Sunil Shetty, Sushmita Sen, Namrata Shirodkar",2000
Aaj Ka Ravan,Imran Khalid,"Kasam Ali, Mithun Chakraborty",2000
Anjaane,Ravi Rai,"Raveena Tandon, Vivek Mushran",2000
Anokha Moti,Anshul Singla,"Sanjay Sharma, Arjun Chakraborty, Nayab Aftab",2000
Apradhi Kaun,Mohan Bhakri,"Ishrat Ali, Shagufta Ali",2000
Astitva,Mahesh Manjrekar,"Tabu, Sachin Khedekar, Smita Jaykar, Mohnish Bahl",2000
Baaghi,Rajesh Kumar Singh,"Sanjay Dutt, Manisha Koirala, Aditya Pancholi, Mahesh Anand, Inder Kumar",2000
Badal,Raj Kanwar,"Bobby Deol, Rani Mukerji, Johnny Lever",2000
Bas Yaari Rakho,Gopi Desai,"Pooja Batra, Seema Biswas",2000
Bawandar,Jag Mundhra,"Nandita Das, Rahul Khanna",2000
Beti No.1,T. Rama Rao,"Govinda, Rambha",2000
Bhai Thakur,"Willy, Raja","Dharmendra, Shakti Kapoor, Upasna Singh",2000
Bichhoo,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Malaika Arora",2000
Billa No. 786,Imran Khalid,Mithun Chakraborty,2000
Bulandi,T. Rama Rao,"Rajinikanth, Rekha, Anil Kapoor, Raveena Tandon",2000
Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Twinkle Khanna, Sonali Bendre, Shakti Kapoor, Dalip Tahil",2000
Champion,Padam Kumar,"Sunny Deol, Manisha Koirala",2000
Deewane,Harry Baweja,"Ajay Devgn, Urmila Matondkar, Mahima Chaudhry",2000
Dhai Akshar Prem Ke,Raj Kanwar,"Abhishek Bachchan, Aishwarya Rai, Salman Khan, Amrish Puri, Sonali Bendre, Dalip Tahil",2000
Dhadkan,Dharmesh Darshan,"Akshay Kumar, Sunil Shetty, Shilpa Shetty",2000
Dil Ki Dhadkan,,Rambha,2000
Dil Pe Mat Le Yaar,Hansal Mehta,"Manoj Bajpai, Tabu, Gajraj Rao, Vijay Raaz, Aditya Srivastava, Kashmera Shah",2000
Dr. Babasaheb Ambedkar,Jabbar Patel,"Mammootty, Sonali Kulkarni",2000
Dr Mukta,,"Amar Babaria, Jaya Bachchan, Abhay Chandarana",2000
Gaja Gamini,M. F. Hussain,"Madhuri Dixit, Shabana Azmi, Shilpa Shirodkar, Naseeruddin Shah, Shah Rukh Khan",2000
Gang,Mazhar Khan,"Juhi Chawla, Nana Patekar, Jackie Shroff",2000
Ghaath,Akashdeep,"Tabu, Manoj Bajpai, Arshad Warsi",2000
Hadh Kar Di Aapne,Manoj Agrawal,"Govinda, Rani Mukerji",2000
Hari-Bhari,Shyam Benegal,"Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Surekha Sikri, Nandita Das",2000
Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Tabu, Paresh Rawal",2000
Hey Ram,Kamal Haasan,"Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Vasundhara Das, Hema Malini, Girish Karnad, Om Puri",2000
Hum To Mohabbat Karega,Kundan Shah,"Bobby Deol, Karisma Kapoor",2000
Jallad No. 1,Kanti Shah,Dharmendra,2000
Jis Desh Mein Ganga Rehta Hain,Mahesh Manjrekar,"Govinda, Sonali Bendre, Rinke Khanna, Shakti Kapoor",2000
Joru Ka Ghulam,Shakeel Noorani,"Govinda, Twinkle Khanna, Kader Khan, Johnny Lever, Ali Asgar",2000
Jung,Sanjay Gupta,"Sanjay Dutt, Shilpa Shetty, Raveena Tandon, Jackie Shroff",2000
Jungle,Ram Gopal Verma,"Himanshu Malik, Urmila Matondkar, Fardeen Khan, Nawazuddin Siddiqui, Sunil Shetty",2000
Kabrastan,Ramesh U. Lakhiani,,2000
Kahin Pyaar Na Ho Jaaye,K. Muralimohana Rao,"Salman Khan, Rani Mukerji, Jackie Shroff, Raveena Tandon, Pooja Batra",2000
Kairee,Amol Palekar,"Atul Kulkarni, Yogita Deshmukh, Shilpa Navalkar",2000
Karobaar: The Business of Love,Rakesh Roshan,"Rishi Kapoor, Anil Kapoor, Juhi Chawla",2000
Kharidaar,Papu Bahruz,"Kishore Anand Bhanushali, Mushtaq Khan, Anil Nagrath, Amit Pachori",2000
Khauff,Sanjay Gupta,"Sanjay Dutt, Manisha Koirala, Simran Bagga",2000
Khiladi 420,Neeraj Vora,"Akshay Kumar, Mahima Chaudhry, Antara Mali",2000
Krodh,Ashok Honda,"Suniel Shetty, Rambha",2000
Kunwara,David Dhawan,"Govinda, Urmila Matondkar",2000
Kurukshetra,Mahesh Manjrekar,"Sanjay Dutt, Mahima Chaudhry",2000
Kya Kehna,Kundan Shah,"Saif Ali Khan, Preity Zinta, Puneet Vashisht, Chandrachur Singh, Farida Jalal, Anupam Kher",2000
Le Chal Apne Sang,Vijay Kondke,"Nishanth, Alok Nath, Beena Banerjee",2000
Lekroo,Shrabani Deodhar,"Sania Jhankar, Nimish Kathale, Sachin Khedekar, Mrinal Kulkarni",2000
Meri Jung Ka Elaan,Kanti Shah,Dharmendra,2000
Nidaan,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Sunil Barve",2000
Pandavas: The Five Warriors,Usha Ganesh Raja,,2000
Papa the Great,K. Bhagyaraj,"Krishna Kumar, Nagma",2000
Phir Bhi Dil Hai Hindustani,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Paresh Rawal, Johny Lever, Dalip Tahil, Satish Shah, Sharat Saxena",2000
Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar, Danny Denzongpa",2000
Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,"Manisha Koirala, Arvind Swamy",2000
Raju Chacha,Anil Devgan,"Ajay Devgn, Kajol, Johnny Lever, Rishi Kapoor, Sanjay Dutt, Tiku Talsania",2000
The Revenge: Geeta Mera Naam,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud",2000
Saanjh,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",2000
Second Generation,,,2000
Shikaar,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",2000
Shikari,N. Chandra,"Govinda, Karisma Kapoor, Tabu",2000
Snip!,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",2000
Sultaan,,Vikas Anand,2000
Tapish,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",2000
Tarkieb,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty",2000
Tera Jadoo Chal Gayaa,A. Muthu,"Abhishek Bachchan, Kirti Reddy, Sanjay Suri, Kader Khan",2000
Tune Mera Dil Le Liyaa,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",2000
Zindagi Zindabad,Sumitra Bhave–Sunil Sukthankar,"Mita Vasisht, Milind Gunaji, Uttara Baokar, Abhiram Bhadkamkar",2000
Kabhi Khushi Kabhie Gham,Karan Johar,,2001
Gadar: Ek Prem Katha,Anil Sharma,,2001
Lagaan,Ashutosh Gowariker,,2001
Indian,N. Maharajan,,2001
