movie,trackname,musicDirector,singers,cast,releaseYear
Kaho Naa... Pyaar Hai,Kaho Naa Pyaar Hai,Rajesh Roshan,Udit Narayan & Alka Yagnik,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Na Tum Jano Na Hum,Rajesh Roshan,Lucky Ali & Ramya,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Pyaar Ki Kashti Mein,Rajesh Roshan,Udit Narayan & Alka Yagnik,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Janeman Janeman,Rajesh Roshan,Asha Bhosle,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Chand Sitaare,Rajesh Roshan,"Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi & Amitabh Bhattacharya","Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Dil Ne Dil Ko Pukara,Rajesh Roshan,Babul Supriyo,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,"Kaho Naa Pyaar Hai"" (Sad Version)",Rajesh Roshan,Lucky Ali,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,Ek Pal Ka Jeena,Rajesh Roshan,Lucky Ali,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Kaho Naa... Pyaar Hai,"Believe in Love"" (Theme Music)",Rajesh Roshan,Rajesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Behl, Ashish Vidhyarthi, Tannaz Irani, Johny Lever, Satish Shah, Farida Jalal",2000
Mohabbatein,Humko Humise Chura Lo,Jatin–Lalit,Lata Mangeshkar & Udit Narayan,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
